ティッカー,詳細,現在値,変動率,変動,評価,出来高,時価総額,PER: 株価収益率 (直近12ヶ月),基本1株当たり利益 (直近12ヶ月),従業員数,セクター,EMA: 指数移動平均線 (20),EMA: 指数移動平均線 (200)
UMBF,UMB Financial Corporation,90.93,0.4085689,0.37,売り,143518,4396241209.327113,10.76348685,8.5222,3591,金融,91.48714738,85.32770969
RVLV,"Revolve Group, Inc.",60.4,-1.3877551,-0.85,中立,364594,4394950410.74887,49.36265137,1.2929,843,小売業,60.73336281,50.01020976
MTSI,"MACOM Technology Solutions Holdings, Inc.",63.8,0.03135779,0.02,買い,181577,4388973872.521403,120.72932917,0.5636,1050,電子テクノロジー,61.17992263,55.73590056
SIG,Signet Jewelers Limited,83.3,-2.29885057,-1.96,買い,1113941,4387168910.536822,18.49236554,5.4938,21700,小売業,75.01758727,56.72729843
QRTEB,Liberty Interactive Corporation - Series B QVC Group Common Stock,10.8,-1.7288444,-0.19,売り,1068,4382712867.079164,3.25581395,3.4542,22200,小売業,11.18877144,11.84755094
QRTEA,Liberty Interactive Corporation - Series A QVC Group Common Stock,10.74,-1.37741047,-0.15,強い売り,1586099,4374285428.334247,3.24396386,3.4542,22200,小売業,11.03531919,11.30949197
STL,Sterling Bancorp,22.7,-0.69991251,-0.16,売り,1064253,4374175973.16044,12.52753304,1.8217,1460,金融,22.69759476,21.75261121
KMPR,Kemper Corporation,68.61,0.35103115,0.24,中立,141943,4365439593.486867,16.32257137,4.2677,9500,金融,68.07293933,72.85601652
DIOD,Diodes Incorporated,97.06,-0.61437641,-0.6,買い,317948,4364156061.655992,30.2793331,3.2547,8939,電子テクノロジー,92.51977936,76.69622223
IGT,International Game Technology,21.26,-1.07026524,-0.23,買い,908435,4362296924.20794,161.03500761,0.135,11048,消費者サービス,20.29769339,18.6629045
SAFM,"Sanderson Farms, Inc.",195,-0.38314176,-0.75,買い,246472,4354113050.461994,14.63908589,13.3813,17445,非耐久消費財,193.09133771,166.26068084
NVRO,Nevro Corp.,124.82,-0.15198784,-0.19,売り,232711,4351941753.883721,,-1.971,843,健康テクノロジー,120.98442709,145.56275551
MC,Moelis & Company,63.17,0,0,買い,255516,4347315098.411671,13.38626371,5.0664,903,金融,61.56747683,52.84566869
MTTR,"Matterport, Inc.",17.96,3.51585014,0.61,強い買い,3851683,4345543958.60837,,,221,金融,15.47833389,
FIZZ,National Beverage Corp.,46.43,-1.19174292,-0.56,買い,269832,4332584931.404494,25.33977975,1.867,1550,非耐久消費財,45.06715638,45.37648625
TKC,Turkcell Iletisim Hizmetleri AS,4.89,-1.60965795,-0.08,買い,169109,4325423211.924535,,0.7037,,通信,4.78457897,4.89183076
MARA,"Marathon Digital Holdings, Inc.",43.41,2.86729858,1.21,買い,12726970,4325117387.860127,,-0.3732,3,テクノロジーサービス,37.03213883,26.41339439
TGTX,"TG Therapeutics, Inc.",30.17,0,0,中立,2154707,4309240867.527834,,-2.7237,272,健康テクノロジー,27.20494718,34.61840858
ENV,"Envestnet, Inc",79,-0.40342915,-0.32,買い,218113,4306709378.16265,304.58715596,0.2933,4250,テクノロジーサービス,78.12906762,75.75294304
SFIX,"Stitch Fix, Inc.",40.2,2.31611097,0.91,売り,1517681,4306571027.860366,,-0.7149,8000,小売業,43.08902111,50.21848912
