id,code,client_name,explain,market,created_at,updated_at
123,AIT,Applied Industrial Technologies,工業用ゴム製品や直動装置、安全装置などを取り扱う工業製品メーカー。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
124,AIZ,Assurant,保険会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
125,AJG,Arthur J. Gallagher,保険仲介やリスク管理サービスを提供,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
126,AJRD,Aerojet Rocketdyne Holdings,防衛・宇宙アプリケーション向け推進システム、ロケットやミサイルなどの開発・製造に従事する航空宇宙・防衛製品メーカー。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
127,AKAM,Akamai Technologies,大手コンテンツ配信企業,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
128,AKBA,Akebia Therapeutics,腎疾患患者向けの低酸素誘導性因子（HIF）生物学に基づく新規治療薬を開発、販売する医薬品メーカー。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
129,AKRO,Akero Therapeutics Inc,NASH（非アルコール性脂肪肝炎）および他の代謝性疾患のための治療法を開発しているバイオテクノロジー会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
130,AKTS,Akoustis Technologies Inc,米国の高周波デバイスメーカー,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
131,AKUS,Akouos Inc,単一遺伝子型難聴を対象とする遺伝子治療プラットフォームを開発,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
132,AL,Air Lease,航空機のリース事業を展開,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
133,ALB,Albemarle,特殊化学品メーカー,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
134,ALBO,Albireo Pharma Inc,米国のバイオ医薬品メーカー,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
135,ALC,Alcon Inc,アイケア機器会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
136,ALCO,Alico,かんきつ類栽培、牧畜、サトウキビと芝の栽培、木材などさまざまな事業を手掛けるアグリビジネス企業。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
137,ALDX,Aldeyra Therapeutics,ドライアイ疾患、その他の目の炎症の治療に関する研究も手掛ける免疫介在性疾患治療薬の研究・開発会社。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
138,ALE,ALLETE,発電・送電・配電のほか、個人・法人向けに電力販売も手掛けるエネルギー会社。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
139,ALEC,Alector Inc,米国のバイオ医薬品会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
140,ALG,Alamo Group,工業、農業のエンドユーザーにトラクター取り付けタイプの大型芝刈り機 や野菜栽培用機械・交換部品等の製品を提供している｡,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
141,ALGM,Allegro Microsystems Inc,半導体関連企業,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
142,ALGN,Align Technology,歯列矯正システムの設計、製造、販売,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
